cp_id,cp_name,cp_type
1,ООО «АгроТех Ресурс»,ООО
2,ООО «РобоТех»,ООО
3,ООО «ТрендМаркет»,ООО
4,ООО «ЭкоГарден Экспорт»,ООО
5,ИП Андреев А.А.,ИП
6,ООО «АйТи Радар»,ООО
7,ООО «АйТи Хаб»,ООО
8,ООО «Доставка Плюс»,ООО
9,ООО «Квартал 24»,ООО
10,ООО «ФрэшСалат Трейд»,ООО
11,ИП Куликов П.А.,ИП
12,ПАО «Ростелеком»,ПАО
13,ООО «ЯркийДень»,ООО
14,ООО «Бизнес Ресурс»,ООО
15,ООО «Глобал Трейд»,ООО
16,ООО «Гармония Пространства»,ООО
17,ООО «НБК»,ООО
18,ИП Сурков О.В.,ИП
19,ИП Васильева В.К.,ИП
20,ИП Никифоров А.А.,ИП
